u;g;r;i;z;specobjid;redshift;plate;mjd;class
;;;;;;;;;
186628;1721449;1667637;1648922;163915;36400000000000000000000;-5.49E-05;323;51615;STAR
1938298;1819169;1747428;1708732;1680125;32300000000000000000000;0.1231112;287;52023;GALAXY
1776536;1660272;1616116;1598233;1590438;372000000000000000000000;-0.000110616;3306;54922;STAR
1755025;1626342;1643869;1655492;1661326;372000000000000000000000;0.000590357;3306;54922;STAR
1943133;1846779;1816451;1801475;1804155;36500000000000000000000;0.000314603;324;51666;STAR
1938322;1788995;1710537;1666393;1636955;32300000000000000000000;0.1002423;287;52023;GALAXY
1897993;1784496;1738022;1720673;1707071;372000000000000000000000;0.000314848;3306;54922;STAR
1790616;1697172;1667541;1653776;1647596;36400000000000000000000;8.91E-05;323;51615;STAR
1867249;1771375;1749362;1728284;1722644;32400000000000000000000;0.04050813;288;52000;GALAXY
1929772;1780227;1718266;1692335;1679928;372000000000000000000000;-3.46E-05;3306;54922;STAR
1883307;1751785;1694273;1671418;1660521;372000000000000000000000;0.000622774;3306;54922;STAR
195625;1819113;1765759;1747573;1739203;372000000000000000000000;5.47E-05;3306;54922;STAR
195799;1772815;169874;1668076;1650426;372000000000000000000000;8.30E-06;3306;54922;STAR
1925667;1754869;1663578;1614922;1576639;32400000000000000000000;0.07208736;288;52000;GALAXY
1873832;1860962;1839696;1831174;1797663;32300000000000000000000;0.2719369;287;52023;QSO
1905958;1809512;1792766;178927;1790772;36500000000000000000000;0.000209974;324;51666;STAR
1922143;1930248;1913823;1911351;1923454;32300000000000000000000;1178098;287;52023;QSO
1904397;1751106;1687335;1661114;1648303;36400000000000000000000;0.000240098;323;51615;STAR
1781661;1686976;1653884;1619576;1608668;32300000000000000000000;0.07277206;287;52023;GALAXY
193932;1848274;1816551;1805122;1804328;36500000000000000000000;-0.000270218;324;51666;STAR
1751339;1641793;1606695;1593751;1589478;32400000000000000000000;-3.55E-05;288;52000;STAR
1907731;1864518;1849678;1852677;1845765;32400000000000000000000;0.9251733;288;52000;QSO
1863032;1723437;1672749;1651772;1644039;288000000000000000000000;4.31E-06;2558;54140;STAR
1921684;1829956;1819589;1814758;1826658;372000000000000000000000;8.80E-05;3306;54922;STAR
194127;1747109;164987;1606502;1566848;32400000000000000000000;0.1167829;288;52000;GALAXY
1848543;17339;1690179;1666712;1648684;32300000000000000000000;0.02129653;287;52023;GALAXY
1772835;1619783;1566073;1551586;1543615;288000000000000000000000;0.000175365;2558;54140;STAR
1770824;1661069;1619772;160625;1600229;37200000000000000000000;0.00017238;3306;54922;STAR
1818974;1723738;1689113;1675727;1671052;288000000000000000000000;0.000519808;2558;54140;STAR
190764;1778953;1698818;1660519;1627859;32400000000000000000000;0.1169446;288;52000;GALAXY
1918013;1807133;1771771;1748797;1755667;32400000000000000000000;0.06807999;288;52000;GALAXY
1838848;1700188;1637884;1616978;160124;288000000000000000000000;0.000135947;2558;54140;STAR
1793407;1664581;1622206;1607029;1606046;289000000000000000000000;0.000158087;2568;54153;STAR
1903059;1810673;1782561;1771227;176878;288000000000000000000000;-0.000167378;2558;54140;STAR
1812978;1717421;1675108;165884;1648527;288000000000000000000000;0.000692428;2558;54140;STAR
1815079;1677761;162215;1602345;1591957;288000000000000000000000;0.000304361;2558;54140;STAR
1952092;1758562;164269;1594473;1556269;32400000000000000000000;0.1506381;288;52000;GALAXY
1890592;1746608;1685369;1658687;1641878;288000000000000000000000;0.00057828;2558;54140;STAR
177019;1676073;1648746;1638173;1633654;288000000000000000000000;0.000704736;2558;54140;STAR
1885351;1797745;176112;1745679;1740576;433000000000000000000000;-0.000676195;3846;55327;STAR
1875478;1758247;1708046;1687063;1675911;288000000000000000000000;-0.000503256;2558;54140;STAR
1833616;1730684;1692903;1678272;1673807;288000000000000000000000;7.61E-05;2558;54140;STAR
191713;1801316;1742493;1704493;1682237;32400000000000000000000;0.1183854;288;52000;GALAXY
1912083;1792189;1718494;167895;1652258;324000000000000000000;0.1575296;288;52000;GALAXY
1755001;1742367;1735734;1719343;1697589;32400000000000000000000;2044347;288;52000;QSO
1889707;1804519;177501;176378;176124;288000000000000000000000;0.000250291;2558;54140;STAR
1948347;1751522;1631651;1583499;154368;32400000000000000000000;0.1585163;288;52000;GALAXY
1931764;1838629;1812009;179998;1793916;289000000000000000000000;0.000576704;2568;54153;STAR
17964;1639632;1574191;154828;1532453;288000000000000000000000;0.000349798;2558;54140;STAR
1919383;1820278;1790109;1777634;1774759;425000000000000000000000;-0.000256492;3771;55544;STAR
1919752;1807471;1776889;176148;1749577;3090000000000000000000;0.02335118;274;51913;GALAXY
1926627;1816093;1759907;172172;1706311;30900000000000000000000;0.1236402;274;51913;GALAXY
1938251;1792302;1711018;1666492;1634558;30900000000000000000000;0.1141676;274;51913;GALAXY
1948702;1851823;1818637;1806704;1805865;43200000000000000000000;0.000790241;3833;55290;STAR
192634;1767693;1682551;1642307;1613864;30900000000000000000000;0.1330486;274;51913;GALAXY
1931866;1827407;1774884;1741618;1724165;30900000000000000000000;0.07470067;274;51913;GALAXY
1873682;1765075;1723958;1707875;1703255;30900000000000000000000;0.000106767;274;51913;STAR
1929416;1797134;1726079;1686013;1656031;30900000000000000000000;0.08692535;274;51913;GALAXY
1948611;1793822;1721548;1682853;1653911;31000000000000000000000;0.1335348;275;51910;GALAXY
1931804;1730973;1617525;1569015;1531261;31000000000000000000000;0.1370104;275;51910;GALAXY
1929157;173125;1617862;1570898;1531378;31000000000000000000000;0.1373722;275;51910;GALAXY
1952565;1929625;1895885;1852108;1857694;310000000000000000000;0.1346428;275;51910;QSO
1938467;1859734;1812431;1774761;1763823;31000000000000000000000;0.1321922;275;51910;GALAXY
1827173;170717;1665145;1639055;1627766;30900000000000000000000;0.03641907;274;51913;GALAXY
1910892;1776311;1691794;1647233;1619134;30900000000000000000000;0.1383506;274;51913;GALAXY
1778707;1612342;1548934;152674;1514027;288000000000000000000000;0.000149526;2559;54208;STAR
1754073;1583706;1515225;1491498;1482364;288000000000000000000000;0.000236645;2559;54208;STAR
1844119;1754684;1727727;171878;1720361;288000000000000000000000;-0.000114203;2559;54208;STAR
1913281;1780045;172643;1707242;1698861;288000000000000000000000;0.000186468;2559;54208;STAR
1942387;1824594;1831933;1840867;1852614;289000000000000000000000;0.000830783;2569;54234;STAR
1795812;169013;1652805;1639926;1637399;269000000000000000000000;-7.66E-05;2389;54213;STAR
16344;1485487;1429812;1412055;1408315;288000000000000000000000;-4.79E-05;2559;54208;STAR
1934314;1812056;1755584;1719446;169961;31000000000000000000000;0.08592108;275;51910;GALAXY
1773398;1684657;1657527;1648237;164738;288000000000000000000000;0.000700168;2559;54208;STAR
1737104;1578487;1498982;1458674;1425872;31000000000000000000000;0.03910941;275;51910;GALAXY
1951073;1805851;1759638;1733996;1729404;30900000000000000000000;0.03917867;274;51913;GALAXY
1944424;1823033;1764066;172346;1704825;31000000000000000000000;0.1273446;275;51910;GALAXY
1911186;1790859;1740774;1719731;1705761;30900000000000000000000;0.0190457;274;51913;GALAXY
186673;1670426;1581967;1540313;1506115;31000000000000000000000;0.05955937;275;51910;GALAXY
1904517;1787662;1749664;1737287;1733316;31000000000000000000000;6.10E-05;275;51910;STAR
1794459;1651015;158354;1540969;1510252;30900000000000000000000;0.06012432;274;51913;GALAXY
173725;1625937;1588727;1575644;1571021;288000000000000000000000;-0.000187248;2559;54208;STAR
1645379;1502962;1456318;1440143;14359;288000000000000000000000;-4.96E-05;2559;54208;STAR
1926927;1824939;1796535;1783665;1780351;289000000000000000000000;0.000899142;2569;54234;STAR
178271;1623793;1567866;1549427;1541664;288000000000000000000000;-7.84E-05;2559;54208;STAR
1788776;1652607;1603367;1585057;1580518;269000000000000000000000;0.000107983;2389;54213;STAR
1958396;1764963;1673063;1629203;1594702;31000000000000000000000;0.06164807;275;51910;GALAXY
181781;1613568;1528753;1489827;1456479;30900000000000000000000;0.06063098;274;51913;GALAXY
1838625;1639808;1540492;1488012;1450048;31000000000000000000000;0.06067357;275;51910;GALAXY
1877188;1715955;1635564;1594145;1565799;30900000000000000000000;0.0603932;274;51913;GALAXY
1663374;1554072;1518744;1506259;1503905;288000000000000000000000;0.000450099;2559;54208;STAR
1714849;1583151;1535753;1518887;1512737;288000000000000000000000;0.000161562;2559;54208;STAR
1623113;1520485;1495443;148674;1486301;288000000000000000000000;-0.000111743;2559;54208;STAR
1856268;1714623;165559;1629699;16157;288000000000000000000000;0.000657249;2559;54208;STAR
1747383;1641803;1607634;1596205;1590247;288000000000000000000000;-0.000287019;2559;54208;STAR
1938031;1807652;1734212;1686341;1650079;30900000000000000000000;0.08483262;274;51913;GALAXY
1905616;1770945;1699192;1654076;1626619;31000000000000000000000;0.08539017;275;51910;GALAXY
1895158;1747266;1670008;1629777;1599012;31000000000000000000000;0.1161265;275;51910;GALAXY
1911236;1792701;1742347;170868;1683476;31000000000000000000000;0.03869415;275;51910;GALAXY
1886752;1733773;1680683;1655789;1638996;3100000000000000000000;0.02655639;275;51910;GALAXY
1895785;1808318;1778178;1765689;1761821;288000000000000000000000;0.00088935;2559;54208;STAR
1780041;1646003;1590095;1566963;1553772;288000000000000000000000;0.000386423;2559;54208;STAR
1876266;1725724;1668513;1647563;1638993;288000000000000000000000;0.00018398;2559;54208;STAR
1682701;1530022;1473089;145436;1444859;288000000000000000000000;3.98E-05;2559;54208;STAR
1901558;1772445;1718152;1697813;1685652;269000000000000000000000;0.000365554;2389;54213;STAR
1772604;174621;1724036;1721479;1709174;426000000000000000000000;0.9693318;3786;55563;QSO
186769;1778154;1752458;1742232;1738025;288000000000000000000000;0.000182587;2559;54208;STAR
1812173;1684951;1638322;1620272;1610719;269000000000000000000000;0.00023867;2389;54213;STAR
1868765;1861862;1859058;1850573;1831973;31000000000000000000000;2093151;275;51910;QSO
1882957;1793844;1756125;1739783;1733559;288000000000000000000000;0.000356511;2559;54208;STAR
1756939;1661339;162723;1613031;160821;288000000000000000000000;0.000332482;2559;54208;STAR
1956237;1759451;167141;1629138;1595551;31000000000000000000000;0.08621725;275;51910;GALAXY
1956588;1863518;1809855;177029;1748965;31000000000000000000000;0.06744873;275;51910;GALAXY
1845709;1705875;1656312;1635972;1628534;288000000000000000000000;0.000291299;2559;54208;STAR
180872;1664009;1617627;1598626;1592437;269000000000000000000000;6.27E-05;2389;54213;STAR
1820489;1712961;1679656;1662952;1657625;288000000000000000000000;0.000995929;2559;54208;STAR
1939882;183913;1785607;1746761;1732818;3100000000000000000000;0.150701;275;51910;GALAXY
1746669;1636004;1587807;1565679;1556303;288000000000000000000000;0.000695604;2559;54208;STAR
1766388;1801819;1896769;1832366;1618336;426000000000000000000000;5.17E-05;3786;55563;STAR
1770241;1784848;1815799;1838987;1871965;271000000000000000000000;5.78E-05;2409;54210;STAR
1853678;1796047;17373;1721301;1718247;3100000000000000000000;0.03981317;275;51910;GALAXY
1928844;1789368;1729176;1705897;1692672;269000000000000000000000;-0.000138961;2389;54213;STAR
175803;1591818;153324;1512888;1504031;269000000000000000000000;7.93E-05;2389;54213;STAR
1758302;161223;1561429;154367;1537343;288000000000000000000000;9.74E-05;2559;54208;STAR
1897204;179849;1766618;1743481;1732352;31000000000000000000000;0.05151358;275;51910;GALAXY
1707819;1549603;1484319;1454306;1438931;288000000000000000000000;0.000543499;2559;54208;STAR
1943337;1854425;1821197;1807626;1799902;432000000000000000000000;0.000586336;3834;56014;STAR
1830903;1708338;1665224;1648205;1639475;288000000000000000000000;0.000117847;2559;54208;STAR
182861;1811478;1814232;1802426;1803402;31000000000000000000000;1741678;275;51910;QSO
1667229;1552946;1516349;1504075;1500277;28800000000000000000000;5.17E-05;2559;54208;STAR
1804392;1698619;1667233;1654937;1649476;26900000000000000000000;0.000264481;2389;54213;STAR
1885257;1786745;1755789;1743459;1738357;26900000000000000000000;-5.87E-07;2389;54213;STAR
1686535;1581168;1547238;1532898;1527367;28800000000000000000000;0.000274919;2559;54208;STAR
1771105;1634725;1583003;1560209;1547698;26900000000000000000000;-0.00045622;2389;54213;STAR
1918404;191997;191041;1878402;1868743;31000000000000000000000;2006571;275;51910;QSO
1780165;1661996;161181;1585237;1564157;31000000000000000000000;0.02614697;275;51910;GALAXY
1866761;1683642;1595352;1551473;1516474;31100000000000000000000;0.03804233;276;51909;GALAXY
1845831;1709308;1655146;1636101;1627274;28800000000000000000000;0.00038865;2559;54208;STAR
1945426;1749314;1674405;1650129;1634002;26900000000000000000000;0.000164115;2389;54213;STAR
1757672;1630313;1582177;156353;155685;28800000000000000000000;0.000326733;2559;54208;STAR
1841814;1717549;1663656;1631784;161021;31100000000000000000000;0.03836371;276;51909;GALAXY
1916261;1745277;1681324;1656124;1644654;269000000000000000000000;7.82E-05;2389;54213;STAR
1737496;1606552;1563478;1548339;1542321;269000000000000000000000;5.26E-05;2389;54213;STAR
1881535;1669037;1570883;1531833;1485697;31100000000000000000000;0.1074627;276;51909;GALAXY
1802848;1665369;1606824;1582721;1570943;269000000000000000000000;-3.76E-05;2389;54213;STAR
1733813;1596866;1549672;1533282;1527834;269000000000000000000000;-4.71E-05;2389;54213;STAR
1948367;181998;1755522;1715322;1693752;31000000000000000000000;0.1045614;275;51910;GALAXY
1652364;1540187;1508259;1497577;1495088;288000000000000000000000;0.000263051;2559;54208;STAR
1697457;157859;1532505;1516091;1508877;34600000000000000000000;-5.70E-06;307;51663;STAR
1675927;1562012;15041;1471669;1444965;3450000000000000000000;0.02956719;306;51637;GALAXY
1870255;1771797;1734371;1717482;171185;34500000000000000000000;2.47E-05;306;51637;STAR
1954733;1817471;1746927;1709822;1684518;34600000000000000000000;0.1097059;307;51663;GALAXY
1920287;1659277;1570658;1525103;1489744;34600000000000000000000;0.07221484;307;51663;GALAXY
1907784;1806951;1770663;1749811;1731405;6040000000000000000000;0.03472417;536;52024;GALAXY
1906822;1780601;1733803;1716516;1709147;34600000000000000000000;-2.66E-05;307;51663;STAR
1856313;1853411;1838498;1837235;183623;3460000000000000000000;1257948;307;51663;QSO
1789559;1671264;162921;161399;1607841;34600000000000000000000;7.05E-05;307;51663;STAR
1914528;1819967;1789295;1778337;1773488;4530000000000000000000;-0.000276482;4025;55350;STAR
1947595;186116;1852926;1876056;1828581;3460000000000000000000;-0.000385041;307;51663;STAR
1929275;1902275;1892752;1885194;1876428;34600000000000000000000;1971239;307;51663;QSO
1727438;1614879;1572019;1548375;1535073;34600000000000000000000;0.03325611;307;51663;GALAXY
189146;1767455;1696098;1657482;1629057;34600000000000000000000;0.116515;307;51663;GALAXY
1693221;1556652;1492086;1458185;143252;346000000000000000000;0.03717615;307;51663;GALAXY
1873475;1779811;1746425;1734566;1729465;453000000000000000000000;0.000255278;4022;55352;STAR
195796;1768983;1674287;1633313;160111;34600000000000000000000;0.1092154;307;51663;GALAXY
1933625;1734765;1635417;1591167;1558279;34600000000000000000000;0.1087394;307;51663;GALAXY
1837159;1628451;1544592;1516673;1501227;34700000000000000000000;-7.05E-05;308;51662;STAR
1928787;1752747;1675908;1641961;1623461;330000000000000000000000;-4.11E-06;2934;54626;STAR
1844022;1802603;1797474;180135;1812117;330000000000000000000000;-5.16E-05;2934;54626;STAR
