objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237660961327743232,135.6891066036,32.4946318397087,23.87882,22.2753,20.39501,19.16573,18.79371,3606,301,2,79,6543777369295181824,"GALAXY",0.6347936,5812,56354,171
1237664879951151360,144.826100550256,31.2741848944939,24.77759,22.83188,22.58444,21.16812,21.61427,4518,301,5,119,11760142036707334144,"GALAXY",0.779136,10445,58158,427
1237660961330430208,142.188789562506,35.5824441819976,25.26307,22.66389,20.60976,19.34857,18.94827,3606,301,2,120,5152200256025548800,"GALAXY",0.6441945,4576,55592,299
1237663478724297984,338.741037753146,-0.402827574587482,22.13682,23.77656,21.61162,20.50454,19.2501,4192,301,3,214,10301071412954421248,"GALAXY",0.9323456,9149,58039,775
1237680272041378048,345.282593210935,21.1838656010284,19.43718,17.58028,16.49747,15.97711,15.54461,8102,301,3,137,6891864880783316992,"GALAXY",0.1161227,6121,56187,842
1237680272039609088,340.995120509191,20.5894762801019,23.48827,23.33776,21.32195,20.25615,19.54544,8102,301,3,110,5658976714552006656,"QSO",1.424659,5026,55855,741
1237678858481565952,23.2349264301638,11.4181876197835,21.46973,21.17624,20.92829,20.60826,20.42573,7773,301,2,462,1.2462617271914e+19,"QSO",0.5864546,11069,58456,113
1237678858473963776,5.43317603738404,12.0651859913473,22.24979,22.02172,20.34126,19.48794,18.84999,7773,301,2,346,6961443351364392960,"GALAXY",0.477009,6183,56210,15
1237661435386659840,200.290475389797,47.199402322911,24.40286,22.35669,20.61032,19.4649,18.95852,3716,301,5,108,7459284627188111360,"GALAXY",0.660012,6625,56386,719
1237670961088168192,39.1496905996484,28.1028416109607,21.74669,20.03493,19.17553,18.81823,18.65422,5934,301,4,122,2751763212482406400,"STAR",-7.895373e-06,2444,54082,232
1237680272034169856,328.092076173419,18.2203104791579,25.77163,22.52042,20.63884,19.78071,19.05765,8102,301,3,27,5652161941432719360,"GALAXY",0.4595958,5020,55852,525
1237662341088150272,243.986637469699,25.7382804319961,23.76761,23.79969,20.98318,19.80745,19.45579,3927,301,4,112,5322363975769544704,"GALAXY",0.5914091,4727,55693,855
1237680507721220352,345.801874402853,32.6728678500872,23.17274,20.14496,19.41948,19.22034,18.89359,8157,301,2,38,7323010883747338240,"STAR",7.182029e-05,6504,56540,574
1237678858459349248,331.502029984917,10.0358020468494,20.8294,18.75091,17.51118,17.01631,16.62772,7773,301,2,123,5702738100025055232,"GALAXY",0.1521936,5065,55739,200
1237663478726984960,344.984770271278,-0.352615781151814,23.20911,22.79291,22.08589,21.86282,21.8512,4192,301,3,255,10375386573252614144,"GALAXY",0.8181597,9215,57682,796
1237662341088543744,244.824523050208,25.1545639915034,24.8868,22.13311,20.44728,19.49171,18.9747,3927,301,4,118,5322135277350967296,"GALAXY",0.4849288,4727,55693,23
1237678598087508224,353.201522444633,3.08079593630972,24.5489,21.44267,20.95315,20.7936,20.48442,7712,301,5,284,4822278327657322496,"STAR",-0.000428576,4283,55864,178
1237678598091112704,1.494388639357,3.29174632998873,20.38562,20.40514,20.29996,20.05918,19.89044,7712,301,5,339,9843824103072749568,"QSO",2.031528,8743,57663,295
1237678598096748800,14.3831352206597,3.21432619593864,21.82154,20.5573,19.94918,19.76057,19.55514,7712,301,5,425,9855072926793226240,"STAR",-0.0004402762,8753,57373,258
1237651539783057664,167.131668785257,67.3399356293198,20.48292,18.67807,17.6168,17.11936,16.73351,1412,301,5,124,551859486873118720,"GALAXY",0.1115879,490,51929,613
1237651539783844096,171.975424574048,67.747450140585,22.13367,20.84772,18.96537,18.31696,17.98124,1412,301,5,136,552974117003880448,"GALAXY",0.3747563,491,51942,572
1237657589775073536,144.785292662052,46.8264956757313,24.54793,22.33601,20.92259,19.87177,19.16934,2821,301,2,28,8237291638734739456,"STAR",-0.0001203588,7316,56710,756
1237657589775204864,145.273037350992,46.9601338072329,25.44243,20.77028,19.6617,19.08481,18.83176,2821,301,2,30,939032172122105856,"GALAXY",0.6623096,834,52316,115
1237657589775401216,145.883005500431,47.300483575273,21.73992,21.53095,21.26763,21.36257,21.15861,2821,301,2,33,8228240458998110208,"QSO",2.07568,7308,56709,596
1237662341086970112,241.426267237893,27.2246949401119,18.88323,17.54229,17.01789,16.75376,16.72259,3927,301,4,94,1568479772680415232,"GALAXY",0.03208113,1393,52824,368
1237658423542022144,132.922468009168,4.52186469749673,21.2611,20.50495,18.36379,23.17828,17.96264,3015,301,3,126,1339873160740235264,"GALAXY",0.2509563,1190,52670,190
1237658423546544640,143.288017625325,5.55205221134132,25.98497,21.31456,19.61107,18.83178,18.27728,3015,301,3,195,5484305274931271680,"GALAXY",0.4612782,4871,55928,170
1237658423545364736,140.600038144857,5.26575770443853,25.46577,22.4065,21.43408,20.26256,19.98775,3015,301,3,177,5483188445911472128,"GALAXY",0.6110625,4870,55923,203
1237663478721872128,333.311510605612,-0.376122967149355,20.53324,18.84066,18.05369,17.60397,17.2903,4192,301,3,177,1164231128404486144,"GALAXY",0.09108476,1034,52813,184
1237663478723575808,337.093435465929,-0.311773269814488,20.15491,18.37295,17.31276,16.82294,16.44342,4192,301,3,203,423401897722931200,"GALAXY",0.1482283,376,52143,231
1237662341092606208,252.75854857538,19.4935268704245,24.36048,20.3777,18.53392,17.84004,17.44505,3927,301,4,180,1765465807799740416,"GALAXY",0.3846326,1568,53169,199
1237662341086380544,240.213908860967,27.9642908504061,23.08039,22.02426,20.80525,19.90149,19.37544,3927,301,4,85,5319915913432291328,"GALAXY",0.546072,4725,55711,141
1237668736824770816,255.574893510297,45.4787029190988,23.73066,22.82349,21.32414,19.81448,19.28439,5416,301,5,12,6783633077820479488,"GALAXY",0.7491816,6025,56098,313
1237678858480189696,20.0525557261385,11.4978807678312,21.89214,21.35124,21.18755,20.843,20.7658,7773,301,2,441,12468299823421085696,"QSO",1.528308,11074,58488,306
1237673709872218624,144.721737004651,5.84684728531905,22.88916,21.63309,20.06106,19.13263,18.9481,6574,301,4,198,5485487525077473280,"GALAXY",0.5091722,4872,55944,375
